docdb_family_id,person_ctry_code,applicant_count,inventor_count
46966745,NO,3,0
47090380,CH,0,1
47090380,DE,0,2
47090380,NO,4,10
47090380,US,6,12
49118519,NO,1,7
51354389,NO,1,3
51354389,US,1,0
51383629,FR,1,0
51383629,NL,1,0
51383629,NO,0,1
51383629,US,1,0
51383629,VG,1,0
53373417,NO,0,2
53373417,SE,2,2
57749889,NO,1,2
57749889,US,1,0
59078144,NO,1,5
59276784,NO,1,4
59829449,GB,0,1
59829449,NO,0,3
59829449,US,1,4
60159338,NO,2,1
60159338,SE,0,2
61074341,NO,1,2
61626986,NO,1,9
61972736,NO,2,4
62599716,GB,0,1
62599716,NO,0,3
62599716,US,1,4
62620944,NO,1,0
62620944,US,0,3
63592801,NO,0,3
63592801,US,1,3
64742917,NO,2,2
64951169,NO,2,2
65324513,FR,0,1
65324513,NO,1,4
65443777,NO,1,4
65520050,NO,1,7
66101039,CA,1,0
66101039,FR,1,0
66101039,NL,1,0
66101039,NO,0,3
66101039,US,1,0
66377386,NO,1,2
66483912,BE,0,3
66483912,NO,1,0
66540291,NO,1,2
66809370,NO,1,4
67384992,NO,1,2
67511647,NO,1,2
67956578,DE,1,2
67956578,NO,0,2
68051600,FR,0,1
68051600,NO,1,3
68164455,NO,0,1
68164455,US,1,7
68241143,NO,1,6
68619562,GB,1,0
68619562,NO,1,4
68917589,NL,1,2
68917589,NO,0,2
68917589,US,1,0
69165466,DE,1,0
69165466,NO,1,3
69527901,GB,0,3
69527901,NO,2,0
70295004,DE,1,0
70295004,NO,1,3
70465025,NO,1,1
70465214,NO,1,3
70476117,NO,1,2
70476303,NO,2,1
70861217,BE,0,5
70861217,NO,1,0
71078397,CO,0,1
71078397,CY,0,2
71078397,GB,1,0
71078397,NO,0,1
71078397,SE,0,1
71092592,NO,1,2
71123286,NO,0,2
71123286,US,1,0
71465329,CH,1,0
71465329,DE,0,1
71465329,DK,0,1
71465329,NO,1,0
71670292,NO,1,0
71670292,US,0,4
71895152,CH,1,1
71895152,NO,1,1
72039454,NO,1,2
72193451,NO,1,3
72292529,NO,1,6
72424574,NL,1,0
72424574,NO,0,2
72424574,US,2,1
72426718,AU,0,1
72426718,NO,1,2
73037926,NO,2,6
73059944,NO,1,3
73223785,NO,1,6
73598022,FR,1,0
73598022,NO,0,1
73646343,NO,1,3
73856470,BE,0,1
73856470,NL,0,2
73856470,NO,1,0
74037769,NO,0,4
74037769,US,1,5
74114706,NO,1,1
74130212,NO,2,2
74130212,RU,0,1
74187338,NO,1,4
74211208,NO,1,5
74221464,NL,0,1
74221464,NO,1,1
74285314,NO,1,3
74646292,NO,1,2
74947425,NO,1,1
75162023,NO,1,4
75870643,NO,1,4
75914553,NO,1,2
76033780,NO,1,1
76641679,NO,1,4
76788205,NO,1,1
77256840,NO,2,3
77257069,NO,1,2
77595554,NO,1,1
77739063,NO,1,3
77927670,NO,1,1
78179417,NO,1,1
78270297,NO,2,4
78402110,NO,1,1
78668839,NO,1,1
78695769,NO,1,2
78744966,NO,1,1
79170644,NO,1,1
79170647,NO,1,2
79425617,NO,1,1
79602256,NO,1,6
80122315,NO,2,1
80249511,GB,1,0
80249511,NO,0,2
80249511,US,0,1
80507166,NO,1,2
81259656,NO,1,3
81306666,NO,1,1
81393095,NO,1,1
81458087,NO,1,2
81973460,NO,1,5
82683726,NO,1,1
84238550,NO,1,0
