docdb_family_id,person_ctry_code,applicant_count,inventor_count,combined_count,applicant_ratio,inventor_ratio,combined_ratio
46966745,NO,3,0,3,1.0,0.0,1.0
47090380,CH,0,1,1,0.0,0.04,0.0286
47090380,DE,0,2,2,0.0,0.08,0.0571
47090380,NO,4,10,14,0.4,0.4,0.4
47090380,US,6,12,18,0.6,0.48,0.5143
49118519,NO,1,7,8,1.0,1.0,1.0
51354389,NO,1,3,4,0.5,1.0,0.8
51354389,US,1,0,1,0.5,0.0,0.2
51383629,FR,1,0,1,0.25,0.0,0.2
51383629,NL,1,0,1,0.25,0.0,0.2
51383629,NO,0,1,1,0.0,1.0,0.2
51383629,US,1,0,1,0.25,0.0,0.2
51383629,VG,1,0,1,0.25,0.0,0.2
53373417,NO,0,2,2,0.0,0.5,0.3333
53373417,SE,2,2,4,1.0,0.5,0.6667
57749889,NO,1,2,3,0.5,1.0,0.75
57749889,US,1,0,1,0.5,0.0,0.25
59078144,NO,1,5,6,1.0,1.0,1.0
59276784,NO,1,4,5,1.0,1.0,1.0
59829449,GB,0,1,1,0.0,0.125,0.1111
59829449,NO,0,3,3,0.0,0.375,0.3333
59829449,US,1,4,5,1.0,0.5,0.5556
60159338,NO,2,1,3,1.0,0.3333,0.6
60159338,SE,0,2,2,0.0,0.6667,0.4
61074341,NO,1,2,3,1.0,1.0,1.0
61626986,NO,1,9,10,1.0,1.0,1.0
61972736,NO,2,4,6,1.0,1.0,1.0
62599716,GB,0,1,1,0.0,0.125,0.1111
62599716,NO,0,3,3,0.0,0.375,0.3333
62599716,US,1,4,5,1.0,0.5,0.5556
62620944,NO,1,0,1,1.0,0.0,0.25
62620944,US,0,3,3,0.0,1.0,0.75
63592801,NO,0,3,3,0.0,0.5,0.4286
63592801,US,1,3,4,1.0,0.5,0.5714
64742917,NO,2,2,4,1.0,1.0,1.0
64951169,NO,2,2,4,1.0,1.0,1.0
65324513,FR,0,1,1,0.0,0.2,0.1667
65324513,NO,1,4,5,1.0,0.8,0.8333
65443777,NO,1,4,5,1.0,1.0,1.0
65520050,NO,1,7,8,1.0,1.0,1.0
66101039,CA,1,0,1,0.25,0.0,0.1429
66101039,FR,1,0,1,0.25,0.0,0.1429
66101039,NL,1,0,1,0.25,0.0,0.1429
66101039,NO,0,3,3,0.0,1.0,0.4286
66101039,US,1,0,1,0.25,0.0,0.1429
66377386,NO,1,2,3,1.0,1.0,1.0
66483912,BE,0,3,3,0.0,1.0,0.75
66483912,NO,1,0,1,1.0,0.0,0.25
66540291,NO,1,2,3,1.0,1.0,1.0
66809370,NO,1,4,5,1.0,1.0,1.0
67384992,NO,1,2,3,1.0,1.0,1.0
67511647,NO,1,2,3,1.0,1.0,1.0
67956578,DE,1,2,3,1.0,0.5,0.6
67956578,NO,0,2,2,0.0,0.5,0.4
68051600,FR,0,1,1,0.0,0.25,0.2
68051600,NO,1,3,4,1.0,0.75,0.8
68164455,NO,0,1,1,0.0,0.125,0.1111
68164455,US,1,7,8,1.0,0.875,0.8889
68241143,NO,1,6,7,1.0,1.0,1.0
68619562,GB,1,0,1,0.5,0.0,0.1667
68619562,NO,1,4,5,0.5,1.0,0.8333
68917589,NL,1,2,3,0.5,0.5,0.5
68917589,NO,0,2,2,0.0,0.5,0.3333
68917589,US,1,0,1,0.5,0.0,0.1667
69165466,DE,1,0,1,0.5,0.0,0.2
69165466,NO,1,3,4,0.5,1.0,0.8
69527901,GB,0,3,3,0.0,1.0,0.6
69527901,NO,2,0,2,1.0,0.0,0.4
70295004,DE,1,0,1,0.5,0.0,0.2
70295004,NO,1,3,4,0.5,1.0,0.8
70465025,NO,1,1,2,1.0,1.0,1.0
70465214,NO,1,3,4,1.0,1.0,1.0
70476117,NO,1,2,3,1.0,1.0,1.0
70476303,NO,2,1,3,1.0,1.0,1.0
70861217,BE,0,5,5,0.0,1.0,0.8333
70861217,NO,1,0,1,1.0,0.0,0.1667
71078397,CO,0,1,1,0.0,0.2,0.1667
71078397,CY,0,2,2,0.0,0.4,0.3333
71078397,GB,1,0,1,1.0,0.0,0.1667
71078397,NO,0,1,1,0.0,0.2,0.1667
71078397,SE,0,1,1,0.0,0.2,0.1667
71092592,NO,1,2,3,1.0,1.0,1.0
71123286,NO,0,2,2,0.0,1.0,0.6667
71123286,US,1,0,1,1.0,0.0,0.3333
71465329,CH,1,0,1,0.5,0.0,0.25
71465329,DE,0,1,1,0.0,0.5,0.25
71465329,DK,0,1,1,0.0,0.5,0.25
71465329,NO,1,0,1,0.5,0.0,0.25
71670292,NO,1,0,1,1.0,0.0,0.2
71670292,US,0,4,4,0.0,1.0,0.8
71895152,CH,1,1,2,0.5,0.5,0.5
71895152,NO,1,1,2,0.5,0.5,0.5
72039454,NO,1,2,3,1.0,1.0,1.0
72193451,NO,1,3,4,1.0,1.0,1.0
72292529,NO,1,6,7,1.0,1.0,1.0
72424574,NL,1,0,1,0.3333,0.0,0.1667
72424574,NO,0,2,2,0.0,0.6667,0.3333
72424574,US,2,1,3,0.6667,0.3333,0.5
72426718,AU,0,1,1,0.0,0.3333,0.25
72426718,NO,1,2,3,1.0,0.6667,0.75
73037926,NO,2,6,8,1.0,1.0,1.0
73059944,NO,1,3,4,1.0,1.0,1.0
73223785,NO,1,6,7,1.0,1.0,1.0
73598022,FR,1,0,1,1.0,0.0,0.5
73598022,NO,0,1,1,0.0,1.0,0.5
73646343,NO,1,3,4,1.0,1.0,1.0
73856470,BE,0,1,1,0.0,0.3333,0.25
73856470,NL,0,2,2,0.0,0.6667,0.5
73856470,NO,1,0,1,1.0,0.0,0.25
74037769,NO,0,4,4,0.0,0.4444,0.4
74037769,US,1,5,6,1.0,0.5556,0.6
74114706,NO,1,1,2,1.0,1.0,1.0
74130212,NO,2,2,4,1.0,0.6667,0.8
74130212,RU,0,1,1,0.0,0.3333,0.2
74187338,NO,1,4,5,1.0,1.0,1.0
74211208,NO,1,5,6,1.0,1.0,1.0
74221464,NL,0,1,1,0.0,0.5,0.3333
74221464,NO,1,1,2,1.0,0.5,0.6667
74285314,NO,1,3,4,1.0,1.0,1.0
74646292,NO,1,2,3,1.0,1.0,1.0
74947425,NO,1,1,2,1.0,1.0,1.0
75162023,NO,1,4,5,1.0,1.0,1.0
75870643,NO,1,4,5,1.0,1.0,1.0
75914553,NO,1,2,3,1.0,1.0,1.0
76033780,NO,1,1,2,1.0,1.0,1.0
76641679,NO,1,4,5,1.0,1.0,1.0
76788205,NO,1,1,2,1.0,1.0,1.0
77256840,NO,2,3,5,1.0,1.0,1.0
77257069,NO,1,2,3,1.0,1.0,1.0
77595554,NO,1,1,2,1.0,1.0,1.0
77739063,NO,1,3,4,1.0,1.0,1.0
77927670,NO,1,1,2,1.0,1.0,1.0
78179417,NO,1,1,2,1.0,1.0,1.0
78270297,NO,2,4,6,1.0,1.0,1.0
78402110,NO,1,1,2,1.0,1.0,1.0
78668839,NO,1,1,2,1.0,1.0,1.0
78695769,NO,1,2,3,1.0,1.0,1.0
78744966,NO,1,1,2,1.0,1.0,1.0
79170644,NO,1,1,2,1.0,1.0,1.0
79170647,NO,1,2,3,1.0,1.0,1.0
79425617,NO,1,1,2,1.0,1.0,1.0
79602256,NO,1,6,7,1.0,1.0,1.0
80122315,NO,2,1,3,1.0,1.0,1.0
80249511,GB,1,0,1,1.0,0.0,0.25
80249511,NO,0,2,2,0.0,0.6667,0.5
80249511,US,0,1,1,0.0,0.3333,0.25
80507166,NO,1,2,3,1.0,1.0,1.0
81259656,NO,1,3,4,1.0,1.0,1.0
81306666,NO,1,1,2,1.0,1.0,1.0
81393095,NO,1,1,2,1.0,1.0,1.0
