docdb_family_id,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr,role
53373417,1,3,  ,HISDAL JONNY,60152495,23154904,,0,3,Inventor
62599716,1,4,US,"HAMMERVOLD, KATHRINE",52212824,23043948,,0,3,Inventor
62599716,1,4,US,"HELVIK, TORBJÃ˜RN",50260288,22645009,,0,1,Inventor
62599716,1,4,US,"MICROSOFT TECHNOLOGY LICENSING, LLC",50132785,22200255,COMPANY,1,0,Applicant
62599716,1,4,US,"TAYLOR, MICHAEL JAMES",41464794,504437,,0,2,Inventor
47090380,1,8,  ,PARENT JAMES BRIAN,62580121,496052,,0,3,Inventor
47090380,1,8,  ,KAVLIE ANITA,61150805,1851250,,0,5,Inventor
47090380,1,8,  ,KIPRIJANOV SERGEJ,61144164,1077411,,0,8,Inventor
47090380,1,8,  ,TEDFORD CLARK E.,60453263,685348,,0,4,Inventor
47090380,1,8,  ,REIERSEN HERALD,60054090,1014027,,0,7,Inventor
47090380,1,8,  ,DUDLER THOMAS,59237007,4326233,,0,1,Inventor
47090380,1,8,  ,HAGEMANN URS BEAT,58766898,4406052,,0,6,Inventor
47090380,1,8,  ,GOMBOTZ WAYNE R.,58725753,14517,,0,2,Inventor
47090380,1,8,  ,ANITA KAVLIE,69255014,17975827,,0,5,Inventor
47090380,1,8,  ,JAMES BRIAN PARENT,65397380,23809531,,0,3,Inventor
47090380,1,8,  ,SERGEJ KIPRIJANOV,62220483,17512618,,0,8,Inventor
47090380,1,8,  ,URS BEAT HAGEMANN,60549479,23684388,,0,6,Inventor
47090380,1,8,  ,THOMAS DUDLER,60383261,17348743,,0,1,Inventor
47090380,1,8,  ,WAYNE R GOMBOTZ,60353680,22490289,,0,2,Inventor
47090380,1,8,  ,CLARK E TEDFORD,58393742,22601772,,0,4,Inventor
53373417,1,3,  ,ROSALES ANTONIO,59902769,3691633,,0,2,Inventor
62599716,1,4,US,"OSTOLAZA MARTIN, Ainhoa",69246590,25869985,,0,4,Inventor
47090380,1,8,US,OMEROS CORPORATION,64790889,89378,COMPANY,1,0,Applicant
47090380,1,8,  ,OMEROS CORP,59710550,89378,COMPANY,1,0,Applicant
47090380,1,8,  ,HERALD REIERSEN,58681008,5275840,,0,7,Inventor
53373417,1,3,  ,SUMITRAN HOLGERSSON SUCHITRA,60318099,23147761,,0,1,Inventor
53373417,1,3,SE,NOVAHEP AB,64786845,980976,COMPANY,1,0,Applicant
53373417,1,3,  ,SUMITRAN-HOLGERSSON SUCHITRA,60217638,826473,,0,1,Inventor
53373417,1,3,  ,NOVAHEP AB,61863008,980976,COMPANY,1,0,Applicant
47090380,1,8,  ,KAVLIE ANITA,42140754,1851250,,0,5,Inventor
47090380,1,8,  ,DUDLER THOMAS,48614832,4326233,,0,1,Inventor
47090380,1,8,  ,KIPRIJANOV SERGEJ,48914327,1077411,,0,8,Inventor
53373417,1,3,  ,ROSALES ANTONIO,60019061,3691633,,0,2,Inventor
53373417,1,3,  ,HISDAL JONNY,60489110,23154904,,0,3,Inventor
47090380,1,8,  ,A.å¡å¤«åˆ©,58126587,27641241,,0,5,Inventor
59078144,1,1,NO,TCO AS,12527013,245674,COMPANY,1,0,Applicant
59078144,1,2,NO,TCO AS,12527013,245674,COMPANY,1,0,Applicant
59078144,1,2,NO,"TVERANGER, JAN TORE",48616141,22494568,,0,1,Inventor
59078144,1,2,NO,"Nerdal, BÃ¥rd",56521239,24965308,,0,2,Inventor
59078144,1,1,NO,"TVERANGER, JAN TORE",48616141,22494568,,0,1,Inventor
60159338,1,1,SE,NILS BACKMAN,42187534,5034120,,0,1,Inventor
60159338,1,1,NO,ELTEK AS,43894157,1977630,COMPANY,1,0,Applicant
47090380,1,8,  ,Omeros Corporation,7841729,89378,COMPANY,1,0,Applicant
47090380,1,8,  ,PARENT JAMES BRIAN,32458208,496052,,0,3,Inventor
47090380,1,8,  ,HAGEMANN URS BEAT,46755940,4406052,,0,6,Inventor
47090380,1,8,  ,REIERSEN HERALD,46755941,1014027,,0,7,Inventor
47090380,1,8,  ,C.E.ç‰¹å¾·ç¦å¾·,58662507,28630297,,0,4,Inventor
47090380,1,8,  ,T.æœå¾·å‹’,60304771,30295892,,0,1,Inventor
47090380,1,8,  ,TEDFORD CLARK E.,47546960,685348,,0,4,Inventor
47090380,1,8,  ,U.B.é»‘æ ¼æ›¼,60465407,30574584,,0,6,Inventor
47090380,1,8,  ,S.åŸºæ™®é‡Œè´¾è¯ºå¤«,63310081,27130928,,0,8,Inventor
47090380,1,8,  ,J.B.å¸•ä¼¦ç‰¹,60689520,28366549,,0,3,Inventor
47090380,1,8,  ,GOMBOTZ WAYNE R.,20367944,14517,,0,2,Inventor
47090380,1,8,  ,H.é‡Œå°”æ£®,69298264,26353147,,0,7,Inventor
53373417,1,3,  ,ANTONIO ROSALES,58166591,25039790,,0,2,Inventor
47090380,1,8,  ,å¥¥é»˜ç½—æ–¯å…¬å¸,62662618,26655579,COMPANY,1,0,Applicant
53373417,1,3,  ,NOVAHEP AB,65306717,980976,COMPANY,1,0,Applicant
47090380,1,8,US,"Dudler, Thomas",11725316,4326233,INDIVIDUAL,0,1,Inventor
63592801,1,3,US,"MICROSOFT TECHNOLOGY LICENSING, LLC",50132785,22200255,COMPANY,1,0,Applicant
59829449,1,4,US,"MICROSOFT TECHNOLOGY LICENSING, LLC",50132785,22200255,COMPANY,1,0,Applicant
59829449,1,4,US,"HELVIK, TORBJORN",52161917,23073987,,0,2,Inventor
59829449,1,4,US,"Microsoft Technology Licensing, LLC",48488790,22200255,COMPANY,1,0,Applicant
59829449,1,4,GB,"Taylor, Michael",10028886,19852,INDIVIDUAL,0,1,Inventor
51354389,1,2,NO,SEABOX AS,43422643,18659432,COMPANY,1,0,Applicant
63592801,1,3,US,"ELSEBÃ˜, Kristian",69220517,25896768,,0,1,Inventor
63592801,1,3,US,"MELING, Jon",57585652,25292725,,0,3,Inventor
63592801,1,3,US,"EIDESEN, DAG",52195137,23030111,,0,2,Inventor
