docdb_family_id,application_number,appln_auth,auth_family,priority_auth,appln_filing_year,appln_nr_epodoc,appln_nr_original,docdb_family_size,receiving_office,nb_applicants,nb_inventors,granted,main_ipc_group,sector,field
46966745,US201113066091A ,US,US,  ,2011,"US201113066091, US202017079629","13066091, 17079629",2,  ,3,2,Y,E21B  41,Other fields,Civil engineering
47090380,US201213464334A ,US,"AU, BR, CA, CL, CN, CY, DK, EP, ES, HR, HU, IL, JP, KR, LT, ME, MX, NZ, PL, PT, RS, RU, SI, SM, US, WO, ZA",WO,2012,"US201213464334, WO2012US36509, EP20120779347, AU20120250627, CA20122832871, IL20130229208, KR20137032078, CN20128032866, MX20130012862, JP20140509474, RU20130153527, JP20150177337, US201514660040, NZ20120617487, ZA20130008943, KR20167018831, US201615263876, CN201710201126, NZ20120715226, KR20187021028, JP20180072245, CA20123025762, MX20170006060, CL20130003140, US201816034896, RU20170137872, IL20190266756, EP20190215429, DK20120779347T, JP20200031661, PT20120779347T, BR20131128429, PL20120779347T, SI20120031793T, HR2020P000887T, LT20120779347T, RS2020P000685, HU2012E779347, ES20120779347T, US202016857558, IL20120229208, ME2020P0000121, IL20210285522, CA20123131223, RU20200120539, NZ20120733310, JP20220139872, MX20180014714, CY20201100525T, US202318168192, JP20240156933, SM2020T000294T","13464334, US2012/036509, 12779347, 2012250627, 2832871, 229208, 1020137032078, 201280032866X, 2013012862, 2014509474, 2013153527/10, 2015177337, 14660040, 617487, 2013/08943, 1020167018831, 15263876, 201710201126, 715226, 1020187021028, 2018072245, 3025762, 2017006060, 2013003140, 16034896, 2017137872, 266756, 19215429, 2020031661, 127793479, 112013028429, 201231793, P20200887T, EP12779347, 20200685, E12779347, 16857558, P-2020-121, 285522, 3131223, 2020120539, 733310, 2022139872, 2018014714, 20201100525, 18168192, 2024156933, 20200294",52,  ,9,8,Y,A61K,N/A,N/A
49118519,WO2013068508W ,WO,"AU, CA, DK, EP, ES, LT, PL, PT, US, WO",GB,2013,"WO2013EP68508, WO2013EP68515, EP20130759192, EP20130760029, CA20132883893, CA20132884136, AU20130311565, AU20130311572, US201314426283, US201314426303, DK20130759192T, ES20130759192T, PL20130759192T, DK20130760029T, LT20130760029T, PT20130759192T, ES20130760029T, US202016933481, US202318207868","EP2013/068508, EP2013/068515, 13759192, 13760029, 2883893, 2884136, 2013311565, 2013311572, 14426283, 14426303, EP13760029, nan, 16933481, 18207868",19,EP,1,2,N,A61B   5,Instruments,Medical technology
51354389,EP14751341A ,EP,"AU, BR, DK, EP, NO, US, WO",NO,2014,"EP20140751341, WO2014NO50021, NO20130000267, AU20140216810, US201414768731, BR20151119191, US202017115542, DK20140751341T","14751341, NO2014/050021, 20130267, 2014216810, 14768731, 112015019191, 17115542",8,  ,1,2,Y,C02F   1,Chemistry,Environmental technology
51383629,EP14181745A ,EP,"EP, US",US,2014,"EP20140181745, US201313973699, US202016791325","14181745, 13973699, 16791325",3,  ,3,1,N,E21B  33,Other fields,Civil engineering
53373417,WO2015061736W ,WO,"AU, CA, CN, EP, HK, JP, KR, US, WO",US,2015,"WO2015EP61736, EP20150727920, KR20157020940, CN20158001435, JP20160524850, AU20150265954, CA20152950021, US201515309381, JP20170088293, CN201710794457, KR20187007061, HK20180110219, US202016892763, KR20217010677, KR20227015470","EP2015/061736, 15727920, 1020157020940, 2015800014350, 2016524850, 2015265954, 2950021, 15309381, 2017088293, 201710794457, 1020187007061, 18110219, 16892763, 1020217010677, 1020227015470",15,EP,1,3,N,A61F   2,Instruments,Medical technology
57749889,WO2016080109W ,WO,"NO, US, WO",US,2016,"WO2016EP80109, US201615371394, NO20180000876, US202016814035","EP2016/080109, 15371394, 20180876, 16814035",4,EP,1,1,N,C09K   8,Chemistry,Basic materials chemistry
59078144,WO2017050128W ,WO,"CA, DK, GB, NO, US, WO",NO,2017,"WO2017NO50128, WO2017NO50129, NO20170000850, NO20170000851, CA20173025387, CA20173025303, GB20180019899, GB20180019890, US201716301362, DK2018PA70790, DK2018PA70821, US201716303908, US202017130350, US202117176640","NO2017/050128, NO2017/050129, 20170850, 20170851, 3025387, 3025303, GB1819899, GB1819890, 16301362, PA201870790, PA201870821, 16303908, 17130350, 17176640",14,NO,1,1,N,E21B  23,Other fields,Civil engineering
59276784,WO2017066936W ,WO,"AU, CA, CN, DK, EP, ES, JP, PL, US, WO",EP,2017,"WO2017EP66936, EP20170735157, CA20173028869, AU20170293129, CN20178042008, JP20180565860, US201716315584, CN202010249765, US202016733636, EP20200205441, DK20170735157T, JP20200167419, PL20170735157T, ES20170735157T","EP2017/066936, 17735157, 3028869, 2017293129, 201780042008, 2018565860, 16315584, 202010249765, 16733636, 20205441, 2020167419",14,EP,1,1,N,B65G  29,Mechanical engineering,Handling
59829449,WO2017047250W ,WO,"CN, EP, US, WO",US,2017,"WO2017US47250, EP20170764690, US201615248004, CN20178052395, US202016927626","US2017/047250, 17764690, 15248004, 201780052395, 16927626",5,US,1,4,N,G06F  16,Electrical engineering,Computer technology
