docdb_family_id,person_ctry_code,applicant_count
30117093,GB,1
30117093,NO,5
32930542,NO,4
35220688,NO,1
35220688,US,1
35267088,DE,1
35267088,NL,2
35267088,NO,1
36803659,GB,1
37671443,GB,5
37671443,NO,2
38163327,NO,2
38372038,US,5
39101658,FI,1
39101658,IT,1
39101658,NO,4
41114732,NO,1
41114732,US,4
42283642,NO,4
42354652,NO,2
42983487,IT,1
42983487,NO,3
43065226,NO,2
44146318,CL,3
44146318,NO,3
44542539,NO,1
44542539,US,5
44645370,DK,6
44860439,GB,1
44860439,NO,1
45464639,NO,4
45495902,GB,1
45495902,NO,5
45541216,GB,1
45541216,NO,1
46757277,KR,1
46757277,NO,1
46757277,US,6
46846167,NO,1
46969414,NO,2
46969414,US,1
48539300,SE,2
48613178,NO,5
49779863,NO,2
50002662,NO,3
50071052,GB,1
50239676,NO,4
50543578,CA,3
50543578,DE,5
50543578,NO,1
50884956,DK,2
50884956,NO,1
50979080,CA,1
50979080,GB,1
50979080,US,1
51302828,NO,1
51869718,NO,1
51869758,NO,1
51986097,NO,3
52349617,NO,1
52469249,NO,1
52577849,NO,2
52649067,GB,1
52673865,NO,1
53181597,NO,1
53181597,US,1
53403185,NO,1
53489699,US,1
53673311,GB,2
53673311,NO,1
53673311,US,1
53677482,GB,1
53677482,NO,1
53756005,US,1
53775996,NO,1
53775996,US,1
53776955,US,1
54336802,NO,1
54336802,US,2
54606078,NO,2
55025003,GB,1
55066354,NO,1
55132414,NO,1
55234448,NO,1
55631054,SE,2
55745553,DE,1
55745553,NO,1
55963321,NO,1
56101757,CN,1
56101757,FR,2
56101757,NO,1
56101757,US,1
56108010,CN,1
56108010,FR,1
56108010,US,1
56132759,NO,2
56360457,NO,1
56544309,CN,2
56544309,FR,2
56544309,NO,1
56544309,US,1
56879732,US,2
56895114,NO,1
57218882,NO,1
57398467,NO,1
57799622,NO,1
57910122,NO,2
57910122,US,1
58044125,NO,1
58100941,CA,1
58100941,FR,1
58100941,NL,1
58100941,US,1
58188673,NO,2
58240861,NO,2
58360664,NO,1
58360996,NO,1
58448349,LI,1
58462478,NO,1
58464508,NO,1
58544187,NO,1
58548768,NO,1
58584257,NO,1
58632557,NO,1
58664231,US,1
58682734,NO,1
58682786,NO,1
58709962,NO,1
58721366,US,1
58765887,NO,1
59065626,NO,1
59220635,GB,1
59220635,NO,1
59254039,US,1
59315613,NO,1
59676672,NO,1
59762051,NO,1
59778985,DK,1
59778985,NO,2
60037196,BE,1
60037196,DK,1
60037279,BE,1
60037279,DK,1
60117284,US,2
60203014,NO,2
60452486,NO,1
60515375,CH,2
60654494,NO,2
60664176,NO,2
60673489,NO,1
60782210,SE,1
60805742,NO,1
61008786,NO,1
61024602,GB,1
61054172,NO,1
61189448,NO,1
61254461,NO,1
61526773,NL,1
61526773,NO,2
61563532,US,1
61563533,US,1
61581354,SE,1
61616772,NO,1
61899313,NO,1
62020082,SE,2
62090016,NO,1
62142372,GB,1
62167350,NO,1
62236239,NO,1
62494677,NO,1
62494678,NO,1
62624927,SE,1
62624929,SE,1
63143728,NO,1
63143801,GB,1
63405219,NO,1
63405220,NO,1
63445755,NO,1
63524241,NO,1
63556360,NO,4
63586806,US,1
63715130,NO,1
63794756,US,2
63834031,NO,1
63834034,NO,1
63858010,NO,1
63862136,NO,1
63878665,NO,1
63878684,NO,1
63915734,US,1
64014714,US,2
64604724,NO,1
64738034,US,1
64738092,US,1
64742639,US,2
64744918,NO,1
64951218,NL,1
64951218,NO,1
64951218,US,1
65003554,NO,1
65009771,NO,1
65011748,NL,1
65011748,US,1
65016249,NO,1
65024231,NO,1
65024727,GB,1
65236978,NO,1
65243589,NO,1
65274886,CA,1
65274886,FR,1
65274886,NL,1
65274886,US,1
65352053,NO,1
65352054,NO,1
65409118,NO,1
65808960,US,1
65995789,NO,1
66102138,NO,1
66181370,NO,1
66240167,GB,1
66243532,US,1
66251813,NO,1
66540312,NO,1
66826923,NO,1
66826977,NO,1
66826985,NO,1
67145844,NO,1
