docdb_family_id,person_ctry_code,applicant_ratio
30117093,GB,0.16666666666666666
30117093,NO,0.8333333333333334
32930542,NO,1.0
35220688,NO,0.5
35220688,US,0.5
35267088,DE,0.25
35267088,NL,0.5
35267088,NO,0.25
36803659,GB,1.0
37671443,GB,0.7142857142857143
37671443,NO,0.2857142857142857
38163327,NO,1.0
38372038,US,1.0
39101658,FI,0.16666666666666666
39101658,IT,0.16666666666666666
39101658,NO,0.6666666666666666
41114732,NO,0.2
41114732,US,0.8
42283642,NO,1.0
42354652,NO,1.0
42983487,IT,0.25
42983487,NO,0.75
43065226,NO,1.0
44146318,CL,0.5
44146318,NO,0.5
44542539,NO,0.16666666666666666
44542539,US,0.8333333333333334
44645370,DK,1.0
44860439,GB,0.5
44860439,NO,0.5
45464639,NO,1.0
45495902,GB,0.16666666666666666
45495902,NO,0.8333333333333334
45541216,GB,0.5
45541216,NO,0.5
46757277,KR,0.125
46757277,NO,0.125
46757277,US,0.75
46846167,NO,1.0
46969414,NO,0.6666666666666666
46969414,US,0.3333333333333333
48539300,SE,1.0
48613178,NO,1.0
49779863,NO,1.0
50002662,NO,1.0
50071052,GB,1.0
50239676,NO,1.0
50543578,CA,0.3333333333333333
50543578,DE,0.5555555555555556
50543578,NO,0.1111111111111111
50884956,DK,0.6666666666666666
50884956,NO,0.3333333333333333
50979080,CA,0.3333333333333333
50979080,GB,0.3333333333333333
50979080,US,0.3333333333333333
51302828,NO,1.0
51869718,NO,1.0
51869758,NO,1.0
51986097,NO,1.0
52349617,NO,1.0
52469249,NO,1.0
52577849,NO,1.0
52649067,GB,1.0
52673865,NO,1.0
53181597,NO,0.5
53181597,US,0.5
53403185,NO,1.0
53489699,US,1.0
53673311,GB,0.5
53673311,NO,0.25
53673311,US,0.25
53677482,GB,0.5
53677482,NO,0.5
53756005,US,1.0
53775996,NO,0.5
53775996,US,0.5
53776955,US,1.0
54336802,NO,0.3333333333333333
54336802,US,0.6666666666666666
54606078,NO,1.0
55025003,GB,1.0
55066354,NO,1.0
55132414,NO,1.0
55234448,NO,1.0
55631054,SE,1.0
55745553,DE,0.5
55745553,NO,0.5
55963321,NO,1.0
56101757,CN,0.2
56101757,FR,0.4
56101757,NO,0.2
56101757,US,0.2
56108010,CN,0.3333333333333333
56108010,FR,0.3333333333333333
56108010,US,0.3333333333333333
56132759,NO,1.0
56360457,NO,1.0
56544309,CN,0.3333333333333333
56544309,FR,0.3333333333333333
56544309,NO,0.16666666666666666
56544309,US,0.16666666666666666
