docdb_family_id,person_ctry_code,combined_count
30117093,GB,1
30117093,NO,9
32930542,NO,7
35220688,NO,2
35220688,US,1
35267088,DE,2
35267088,NL,3
35267088,NO,2
36803659,GB,1
36803659,NO,1
37671443,GB,11
37671443,NO,3
38163327,IL,1
38163327,NO,2
38372038,US,9
39101658,FI,2
39101658,IT,2
39101658,NO,7
41114732,NO,2
41114732,US,7
42283642,NO,7
42354652,NO,3
42983487,IT,2
42983487,NO,5
43065226,NO,3
44146318,CL,6
44146318,NO,5
44542539,NO,2
44542539,US,9
44645370,DK,9
44860439,GB,1
44860439,NO,2
45464639,NO,7
45495902,GB,1
45495902,NO,10
45541216,GB,1
45541216,NO,7
46757277,KR,2
46757277,NO,2
46757277,US,11
46846167,NO,4
46969414,NO,4
46969414,US,1
48539300,NO,1
48539300,SE,3
48613178,NO,9
49779863,NO,3
50002662,NO,7
50071052,GB,5
50071052,NO,2
50239676,NO,7
50543578,CA,6
50543578,DE,9
50543578,NO,2
50884956,DK,5
50884956,NO,1
50979080,CA,1
50979080,FR,2
50979080,GB,1
50979080,NO,2
50979080,US,1
51302828,NO,7
51869718,NO,3
51869758,NO,3
51986097,NO,5
52349617,NO,3
52469249,NO,3
52577849,NO,3
52649067,GB,1
52649067,NO,1
52673865,NO,5
53181597,NO,2
53181597,US,3
53403185,NO,3
53489699,GB,1
53489699,NO,1
53489699,US,5
53673311,GB,9
53673311,NE,1
53673311,NO,4
53673311,US,6
53677482,GB,1
53677482,NO,3
53756005,NO,2
53756005,US,3
53775996,FR,1
53775996,NO,1
53775996,US,1
53776955,NO,4
53776955,US,1
54336802,NO,2
54336802,US,3
54606078,NO,4
55025003,GB,2
55025003,NO,3
55066354,NO,3
55132414,NO,5
55234448,IN,1
55234448,NO,1
55631054,NO,1
55631054,SE,4
55745553,DE,2
55745553,NO,2
55963321,NO,3
56101757,CN,2
56101757,FR,4
56101757,NO,2
56101757,US,2
56108010,CN,2
56108010,FR,3
56108010,NO,1
56108010,US,2
56132759,NO,4
56360457,GB,1
56360457,NO,3
56544309,CN,3
56544309,FR,4
56544309,NO,2
56544309,US,2
56879732,CN,2
56879732,NO,1
56879732,US,3
56895114,NO,2
56895114,SE,2
57218882,NO,5
57398467,BR,1
57398467,NO,1
57398467,US,1
57799622,NO,4
57910122,NO,3
57910122,US,3
58044125,NO,4
58100941,CA,1
58100941,FR,1
58100941,NL,1
58100941,NO,3
58100941,US,1
58188673,GB,1
58188673,NO,2
58240861,GB,1
58240861,NO,2
58360664,NO,7
58360996,NO,5
58448349,AT,1
58448349,CH,2
58448349,DE,1
58448349,LI,1
58448349,NO,1
58462478,NO,3
58464508,NO,6
58544187,NO,4
58548768,NO,4
58584257,NO,2
58632557,NO,3
58632557,US,3
58664231,NO,1
58664231,US,2
58682734,NO,2
58682786,NO,5
58682786,SE,1
58709962,NO,4
58721366,NO,4
58721366,US,1
58765887,NO,4
59065626,NO,6
59220635,GB,1
59220635,NO,5
59254039,GB,1
59254039,NO,1
59254039,US,3
59315613,NO,2
59676672,NO,4
59762051,ES,3
59762051,NO,7
59778985,CA,2
59778985,DK,3
59778985,NO,5
60037196,BE,4
