docdb_family_id,person_ctry_code,inventor_count
30117093,NO,4
32930542,NO,3
35220688,NO,1
35267088,DE,1
35267088,NL,1
35267088,NO,1
36803659,NO,1
37671443,GB,6
37671443,NO,1
38163327,IL,1
38372038,US,4
39101658,FI,1
39101658,IT,1
39101658,NO,3
41114732,NO,1
41114732,US,3
42283642,NO,3
42354652,NO,1
42983487,IT,1
42983487,NO,2
43065226,NO,1
44146318,CL,3
44146318,NO,2
44542539,NO,1
44542539,US,4
44645370,DK,3
44860439,NO,1
45464639,NO,3
45495902,NO,5
45541216,NO,6
46757277,KR,1
46757277,NO,1
46757277,US,5
46846167,NO,3
46969414,NO,2
48539300,NO,1
48539300,SE,1
48613178,NO,4
49779863,NO,1
50002662,NO,4
50071052,GB,4
50071052,NO,2
50239676,NO,3
50543578,CA,3
50543578,DE,4
50543578,NO,1
50884956,DK,3
50979080,FR,2
50979080,NO,2
51302828,NO,6
51869718,NO,2
51869758,NO,2
51986097,NO,2
52349617,NO,2
52469249,NO,2
52577849,NO,1
52649067,NO,1
52673865,NO,4
53181597,NO,1
53181597,US,2
53403185,NO,2
53489699,GB,1
53489699,NO,1
53489699,US,4
53673311,GB,7
53673311,NE,1
53673311,NO,3
53673311,US,5
53677482,NO,2
53756005,NO,2
53756005,US,2
53775996,FR,1
53776955,NO,4
54336802,NO,1
54336802,US,1
54606078,NO,2
55025003,GB,1
55025003,NO,3
55066354,NO,2
55132414,NO,4
55234448,IN,1
55631054,NO,1
55631054,SE,2
55745553,DE,1
55745553,NO,1
55963321,NO,2
56101757,CN,1
56101757,FR,2
56101757,NO,1
56101757,US,1
56108010,CN,1
56108010,FR,2
56108010,NO,1
56108010,US,1
56132759,NO,2
56360457,GB,1
56360457,NO,2
56544309,CN,1
56544309,FR,2
56544309,NO,1
56544309,US,1
56879732,CN,2
56879732,NO,1
56879732,US,1
56895114,NO,1
56895114,SE,2
57218882,NO,4
57398467,BR,1
57398467,US,1
57799622,NO,3
57910122,NO,1
57910122,US,2
58044125,NO,3
58100941,NO,3
58188673,GB,1
58240861,GB,1
58360664,NO,6
58360996,NO,4
58448349,AT,1
58448349,CH,2
58448349,DE,1
58448349,NO,1
58462478,NO,2
58464508,NO,5
58544187,NO,3
58548768,NO,3
58584257,NO,1
58632557,NO,2
58632557,US,3
58664231,NO,1
58664231,US,1
58682734,NO,1
58682786,NO,4
58682786,SE,1
58709962,NO,3
58721366,NO,4
58765887,NO,3
59065626,NO,5
59220635,NO,4
59254039,GB,1
59254039,NO,1
59254039,US,2
59315613,NO,1
59676672,NO,3
59762051,ES,3
59762051,NO,6
59778985,CA,2
59778985,DK,2
59778985,NO,3
60037196,BE,3
60037196,DK,2
60037196,NO,2
60037279,BE,3
60037279,DK,2
60037279,NO,2
60117284,NO,1
60203014,NO,2
60452486,NO,2
60515375,BE,1
60515375,FR,1
60515375,NO,2
60654494,FI,1
60664176,NO,5
60673489,NO,1
60782210,NO,1
60782210,SE,1
60805742,GB,1
60805742,NO,4
61008786,NO,2
61024602,NO,3
61054172,NO,2
61189448,NO,3
61254461,NO,1
61526773,NO,4
61563532,NO,8
61563533,IT,1
61563533,NO,7
61581354,NO,1
61616772,NO,2
61899313,NO,1
62020082,NO,1
62090016,NO,2
62142372,GB,4
62142372,NO,2
62167350,NO,3
62236239,NO,2
62494677,NO,1
62494678,NO,2
62624927,NO,1
62624929,NO,1
63143728,NO,2
63143801,GB,1
63143801,NO,1
63143801,SE,1
63405219,NO,1
63405220,NO,1
63445755,NO,1
63524241,BR,6
63524241,CA,1
63524241,US,1
63556360,NO,4
63586806,NO,1
63715130,NO,1
63794756,NO,1
63794756,US,2
63834031,NO,1
63834034,NO,1
63858010,NO,1
63862136,NO,1
63878665,NO,2
63878684,NO,2
63915734,NO,3
64014714,NO,3
64604724,US,3
64738034,NO,3
64738092,NO,5
64742639,NO,1
64742639,US,2
64744918,NO,2
64951218,NO,2
64951218,US,5
65003554,US,2
65009771,NO,3
65011748,NL,2
65011748,NO,1
65016249,NO,1
65024231,NO,1
65024727,NO,2
65024727,SE,1
65236978,NO,2
65243589,GB,4
65243589,US,1
65274886,CA,2
65274886,NO,1
65352053,NO,1
65352054,NO,4
65409118,NO,2
65808960,DE,1
65808960,IN,1
65808960,NO,1
65808960,US,2
65995789,DE,2
65995789,NO,2
66102138,NO,2
66181370,NO,6
66240167,GB,2
66240167,NO,1
66243532,NO,1
66243532,US,6
66251813,NO,2
66540312,NO,1
66826923,IN,1
66826923,SG,3
66826977,NO,1
66826985,NO,1
67145844,NO,1
67220698,NO,2
67262338,DE,1
67262338,NO,1
67297301,NO,1
67297301,US,4
67441564,NO,3
67511647,NO,1
67623215,NO,3
67684686,CA,3
67684686,NO,4
67700158,NO,4
67701231,NO,4
67810426,NO,5
67928828,NL,1
67997509,IN,1
67997509,SG,3
68108921,NO,6
68291597,US,1
68292617,NO,1
68315280,NL,3
68315280,NO,2
68315372,NO,1
68342458,PL,1
68425536,NO,1
68425536,US,5
68614305,NO,6
68728301,NO,2
68763676,NO,4
68764636,NO,2
68764636,US,1
68768884,NO,4
68917589,NL,1
68917589,NO,2
69005258,NL,1
69005258,NO,3
69005761,NO,2
69059106,US,2
69061430,NO,7
69062099,GB,2
69086376,NO,1
69104300,ES,1
69104300,NO,2
69137215,NO,3
69147180,NO,4
69165466,NO,2
69186599,NO,7
69322634,NO,2
69322907,NO,8
69493486,NO,2
69626225,NO,3
69626234,NO,3
69636765,NO,1
69639782,GB,2
69740251,DE,2
69810688,NO,1
